idhh	idperson	idmother	idfather	idpartner	idorighh	idorigperson	xhh_s	xhh	dag	dgn	dec	dwt	dms	dhh	ddi	deh	dct	dcz	dur	les	loc	lfo	lcs	lindi	lindi01	yem	yse	yag	ytn	yds	bsa_s	boa_s	bed_s	tscee_s	tscer_s	ttn_s	ttb01_s	ttb02_s	ttb_s	tin_s	tva_s	arf	aec	sel_s	spl	splpf	ses	ses01	ses02	ils_head	ils_earns	ils_origy	ils_tax	ils_sicee	ils_sicse	ils_sicer	ils_pen	ils_benmt	ils_bennt	ils_benki	ils_ben	ils_dispy	ils_dispy_pf	ils_dispyki	ils_taxind	ils_sic	ils_bch	ils_bsa	ils_bsu	ils_bdi	ils_bun	ils_bag	ils_dispyx	ils_dispyx_pf	ils_con	ils_con_pf	ils_coicop01	ils_coicop02	ils_coicop03	ils_coicop04	ils_coicop05	ils_coicop06	ils_coicop07	ils_coicop08	ils_coicop09	ils_coicop10	ils_coicop11	ils_coicop12	il_exp_vat	tu_household_dv_HeadID	tu_household_dv_IsDependentChild	tu_household_dv_IsLoneParent	tu_household_dv_IsPartner
1	101	0	0	102	1	101	1015,94	1015,94	34	1	0	159,09	2	1	0	3	101	1	1	3	8	1	0	2	2	1276,47	0	0	0	936,57	0	0	0	63,82	127,65	0	0	1276,47	1212,65	276,08	93,57	3	3	0	120	109	1,9	2	1,41	1	1276,47	1276,47	276,08	63,82	0	127,65	0	0	0	0	0	936,57	843	936,57	93,57	191,47	0	0	0	0	0	0	936,57	843	1015,94	922,37	261,79	3,04	82,57	62,94	56,51	79,05	94,5	5,83	18,55	0	126,82	1,61	584,83	101	0	0	0
1	102	0	0	101	1	102	0	0	33	0	0	159,09	2	0	0	3	101	1	1	3	5	1	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	1
2	201	208	0	202	2	201	552,73	552,74	43	0	0	159,09	2	1	0	2	101	1	1	3	9	0	0	12	12	0	0	0	0	350	350	0	0	0	0	0	0	0	0	0	52	1	2	1	120	109	6,15	8	2,83	1	0	0	0	0	0	0	0	350	0	0	350	350	298	350	52	0	0	350	0	0	0	0	350	298	552,73	500,73	166,79	1,43	36,15	29,78	26,75	30,63	53,7	2,76	8,77	0	91,58	0,76	324,99	201	0	0	0
2	202	0	0	201	2	202	0	0	45	1	0	159,09	2	0	0	2	101	1	1	3	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	1
2	203	201	202	0	2	203	0	0	22	0	0	159,09	1	0	0	3	101	1	1	3	5	0	0	5	5	179,2	0	0	0	179,2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	179,2	179,2	0	0	0	0	0	0	0	0	0	179,2	179,2	179,2	0	0	0	0	0	0	0	0	179,2	179,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
2	204	201	202	0	2	204	0	0	16	0	2	159,09	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	205	201	202	0	2	205	0	0	12	0	2	159,09	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	206	201	0	0	2	206	0	0	5	0	1	159,09	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	207	201	0	0	2	207	0	0	0	1	0	159,09	1	0	0	0	101	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	208	0	0	0	2	208	0	0	73	0	0	159,09	3	0	0	2	101	1	1	7	-1	-1	0	0	0	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	70	0	0	70	70	70	70	0	0	0	70	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
