idhh	idperson	idmother	idfather	idpartner	idorighh	idorigperson	xhh_s	xhh	dag	dgn	dec	dwt	dms	dhh	ddi	dur	deh	dct	dcz	les	loc	lfo	lcs	lindi	lindi01	yem	yse	yag	ytn	yds	bsa_s	boa_s	bed_s	tscee_s	tscer_s	ttn_s	ttb01_s	ttb02_s	ttb_s	tin_s	tva_s	arf	aec	sel_s	spl	splpf	ses	ses01	ses02	ils_head	ils_earns	ils_origy	ils_tax	ils_sicee	ils_sicse	ils_sicer	ils_pen	ils_benmt	ils_bennt	ils_benki	ils_ben	ils_dispy	ils_dispy_pf	ils_dispyki	ils_taxind	ils_sic	ils_bch	ils_bsa	ils_bsu	ils_bdi	ils_bun	ils_bag	ils_dispyx	ils_dispyx_pf	ils_con	ils_con_pf	ils_coicop01	ils_coicop02	ils_coicop03	ils_coicop04	ils_coicop05	ils_coicop06	ils_coicop07	ils_coicop08	ils_coicop09	ils_coicop10	ils_coicop11	ils_coicop12	il_exp_vat	tu_household_dv_HeadID	tu_household_dv_IsDependentChild	tu_household_dv_IsLoneParent	tu_household_dv_IsPartner
1	101	0	0	102	1	101	1323,3	1228,47	34	1	0	159,09	2	1	0	1	3	101	1	3	8	1	0	2	2,42	1684,56	0	0	0	1132,5	0	0	0	84,23	168,46	0	0	1684,56	1600,33	373	114,78	3	3	0	145,1	131,8	1,9	2	1,41	1	1684,56	1684,56	373	84,23	0	168,46	0	0	0	0	0	1227,33	1112,55	1227,33	114,78	252,68	0	0	0	0	0	0	1227,33	1112,55	1323,3	1208,53	308,83	3,68	105,24	76,96	72,03	100,76	120,45	7,43	23,64	0	149,61	2,05	717,36	101	0	0	0
1	102	0	0	101	1	102	0	0	33	0	0	159,09	2	0	0	1	3	101	1	3	5	1	0	6	7,26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	1
2	201	208	0	202	2	201	622,41	668,37	43	0	0	159,09	2	1	0	1	2	101	1	3	9	0	0	12	14,51	0	0	0	0	423,22	386	0	0	0	0	0	0	0	0	0	63,51	1	2	1	145,1	131,8	6,15	8	2,83	1	0	0	0	0	0	0	0	386	0	0	386	386	322,49	386	63,51	0	0	386	0	0	0	0	386	322,49	622,41	558,9	196,76	1,73	46,08	36,41	34,1	39,04	68,45	3,52	11,18	0	108,04	0,97	396,95	201	0	0	0
2	202	0	0	201	2	202	0	0	45	1	0	159,09	2	0	0	1	2	101	1	3	6	0	0	1	1,21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	1
2	203	201	202	0	2	203	0	0	22	0	0	159,09	1	0	0	1	3	101	1	3	5	0	0	5	6,05	236,49	0	0	0	216,69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	236,49	236,49	0	0	0	0	0	0	0	0	0	236,49	236,49	236,49	0	0	0	0	0	0	0	0	236,49	236,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
2	204	201	202	0	2	204	0	0	16	0	2	159,09	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	205	201	202	0	2	205	0	0	12	0	2	159,09	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	206	201	0	0	2	206	0	0	5	0	1	159,09	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	207	201	0	0	2	207	0	0	0	1	0	159,09	1	0	0	1	0	101	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0
2	208	0	0	0	2	208	0	0	73	0	0	159,09	3	0	0	1	2	101	1	7	-1	-1	0	0	0	0	0	0	0	84,64	0	84	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	84	0	0	84	84	84	84	0	0	0	84	0	0	0	0	84	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
